Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2022-06-13,98.93000030517578,98.93000030517578,105.33000183105469,98.36000061035156,102.8499984741211,9587300,ABNB
2022-06-14,98.87000274658203,98.87000274658203,101.3499984741211,97.20099639892578,99.54000091552734,5915300,ABNB
2022-06-15,101.47000122070312,101.47000122070312,103.6500015258789,98.91999816894531,100.0199966430664,6260400,ABNB
2022-06-16,93.26000213623047,93.26000213623047,97.5,92.08999633789062,96.19000244140625,9435700,ABNB
2022-06-17,99.48999786376953,99.48999786376953,100.61000061035156,93.52999877929688,93.52999877929688,11288700,ABNB
2022-06-21,102.2699966430664,102.2699966430664,104.88899993896484,101.62000274658203,102.69000244140625,6532700,ABNB
2022-06-22,99.52999877929688,99.52999877929688,102.5,98.72000122070312,99.0,8986000,ABNB
2022-06-23,95.72000122070312,95.72000122070312,100.80000305175781,93.0199966430664,100.0,12340800,ABNB
2022-06-24,103.51000213623047,103.51000213623047,104.18000030517578,96.33000183105469,97.5199966430664,28790500,ABNB
2022-06-27,101.5,101.5,104.16999816894531,99.33000183105469,103.95999908447266,7352100,ABNB
2022-06-28,97.52999877929688,97.52999877929688,105.44999694824219,97.08999633789062,103.33999633789062,7744100,ABNB
2022-06-29,93.93000030517578,93.93000030517578,97.0,92.05000305175781,96.83000183105469,6522600,ABNB
2022-06-30,89.08000183105469,89.08000183105469,92.91000366210938,86.70999908447266,92.48999786376953,9007800,ABNB
2022-07-01,91.41000366210938,91.41000366210938,91.45999908447266,87.43000030517578,89.08999633789062,5992200,ABNB
2022-07-05,95.94000244140625,95.94000244140625,96.01000213623047,86.75,88.87999725341797,7648500,ABNB
2022-07-06,92.87999725341797,92.87999725341797,96.16999816894531,91.80000305175781,95.29000091552734,5703000,ABNB
2022-07-07,97.5,97.5,97.55000305175781,92.16000366210938,93.66000366210938,7480500,ABNB
2022-07-08,97.3499984741211,97.3499984741211,98.12000274658203,93.24199676513672,96.2300033569336,5666300,ABNB
2022-07-11,95.0999984741211,95.0999984741211,97.08999633789062,93.2699966430664,96.0,6041400,ABNB
2022-07-12,96.55000305175781,96.55000305175781,97.68599700927734,93.31999969482422,95.30000305175781,4170200,ABNB
2022-07-13,95.63999938964844,95.63999938964844,96.58899688720703,91.61000061035156,93.75,6967800,ABNB
2022-07-14,91.05000305175781,91.05000305175781,94.58000183105469,90.16999816894531,94.27999877929688,8334600,ABNB
2022-07-15,94.66000366210938,94.66000366210938,95.6500015258789,90.66000366210938,92.55000305175781,7494300,ABNB
